,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,West Ham,(16.),Man City ,Man City (2.),0:5,AM,,,,,,34',,,,Robert Snodgrass
1,2,8/17/19,A,West Ham,(20.),Brighton ,Brighton (5.),1:1,RW,,,,,,90',,,,Robert Snodgrass
2,3,8/24/19,A,West Ham,(16.),Watford ,Watford (20.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Robert Snodgrass
3,4,8/31/19,H,West Ham,(14.),Norwich ,Norwich (17.),2:0,RW,,,74',,,19',,,,Robert Snodgrass
4,5,9/16/19,A,West Ham,(7.),Aston Villa ,Aston Villa (18.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Robert Snodgrass
5,6,9/22/19,H,West Ham,(8.),Man Utd ,Man Utd (4.),2:0,RW,,,,,,1',,,,Robert Snodgrass
6,7,9/28/19,A,West Ham,(5.),Bournemouth ,Bournemouth (6.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Robert Snodgrass
7,8,10/5/19,H,West Ham,(5.),Crystal Palace ,Crystal Palace (9.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Robert Snodgrass
8,9,10/19/19,A,West Ham,(8.),Everton ,Everton (18.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Robert Snodgrass
9,10,10/26/19,H,West Ham,(11.),Sheffield Utd. ,Sheffield Utd. (9.),1:1,AM,1,,,,,86',,,,Robert Snodgrass
10,11,11/2/19,H,West Ham,(10.),Newcastle ,Newcastle (17.),2:3,AM,1,,,,,90',,,,Robert Snodgrass
11,12,11/9/19,A,West Ham,(13.),Burnley ,Burnley (14.),3:0,RW,,,,,,90',,,,Robert Snodgrass
12,13,11/23/19,H,West Ham,(16.),Spurs ,Spurs (14.),2:3,AM,,1,87',,,90',,,,Robert Snodgrass
13,14,11/30/19,A,West Ham,(17.),Chelsea ,Chelsea (4.),0:1,RW,,,,,,90',,,,Robert Snodgrass
14,15,12/4/19,A,West Ham,(13.),Wolves ,Wolves (6.),2:0,RW,,,,,,62',,,,Robert Snodgrass
15,16,12/9/19,H,West Ham,(15.),Arsenal ,Arsenal (10.),1:3,RW,,,24',,,78',,,,Robert Snodgrass
16,17,12/14/19,A,West Ham,(16.),Southampton ,Southampton (18.),0:1,RW,,,45',,,73',,,,Robert Snodgrass
17,19,12/26/19,A,West Ham,(16.),Crystal Palace ,Crystal Palace (12.),2:1,RW,1,,,,,90',,,,Robert Snodgrass
18,20,12/28/19,H,West Ham,(17.),Leicester ,Leicester (2.),1:2,AM,,,,,,28',,,,Robert Snodgrass
19,21,1/1/20,H,West Ham,(17.),Bournemouth ,Bournemouth (16.),4:0,RW,,1,,,,83',,,,Robert Snodgrass
20,22,1/10/20,A,West Ham,(16.),Sheffield Utd. ,Sheffield Utd. (8.),1:0,LW,,,,,,21',,,,Robert Snodgrass
21,23,1/18/20,H,West Ham,(16.),Everton ,Everton (11.),1:1,RW,,1,,,,90',,,,Robert Snodgrass
22,24,1/22/20,A,West Ham,(16.),Leicester ,Leicester (3.),4:1,AM,,,,,,45',,,,Robert Snodgrass
23,18,1/29/20,H,West Ham,(15.),Liverpool ,Liverpool (1.),0:2,RW,,,,,,90',,,,Robert Snodgrass
24,25,2/1/20,H,West Ham,(17.),Brighton ,Brighton (15.),3:3,LM,2,1,,,,85',,,,Robert Snodgrass
25,26,2/19/20,A,West Ham,(18.),Man City ,Man City (2.),2:0,CF,,,,,,80',,,,Robert Snodgrass
26,27,2/24/20,A,West Ham,(18.),Liverpool ,Liverpool (1.),3:2,RW,,1,,,,84',,,,Robert Snodgrass
27,28,2/29/20,H,West Ham,(18.),Southampton ,Southampton (12.),3:1,,,,,,,12',,,,Robert Snodgrass
28,29,3/7/20,A,West Ham,(16.),Arsenal ,Arsenal (10.),1:0,,,,,,,1',,,,Robert Snodgrass
