,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Man City,(2.),West Ham ,West Ham (16.),0:5,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Eric García
1,2,8/17/19,H,Man City,(1.),Spurs ,Spurs (6.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
2,3,8/25/19,A,Man City,(3.),Bournemouth ,Bournemouth (7.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
3,4,8/31/19,H,Man City,(2.),Brighton ,Brighton (8.),4:0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Eric García
4,5,9/14/19,A,Man City,(2.),Norwich ,Norwich (19.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
5,6,9/21/19,H,Man City,(2.),Watford ,Watford (20.),8:0,CB,,,,,,27',,,,Eric García
6,7,9/28/19,A,Man City,(2.),Everton ,Everton (14.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
7,8,10/6/19,H,Man City,(2.),Wolves ,Wolves (13.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
8,9,10/19/19,A,Man City,(2.),Crystal Palace ,Crystal Palace (6.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
9,10,10/26/19,H,Man City,(2.),Aston Villa ,Aston Villa (12.),3:0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Eric García
10,11,11/2/19,H,Man City,(2.),Southampton ,Southampton (18.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
11,12,11/10/19,A,Man City,(2.),Liverpool ,Liverpool (1.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
12,13,11/23/19,H,Man City,(4.),Chelsea ,Chelsea (3.),2:1,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,,,Eric García
13,14,11/30/19,A,Man City,(3.),Newcastle ,Newcastle (14.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
14,15,12/3/19,A,Man City,(3.),Burnley ,Burnley (10.),1:4,CB,,,,,,5',,,,Eric García
15,16,12/7/19,H,Man City,(3.),Man Utd ,Man Utd (6.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
16,17,12/15/19,A,Man City,(3.),Arsenal ,Arsenal (9.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
17,18,12/21/19,H,Man City,(3.),Leicester ,Leicester (2.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
18,19,12/27/19,A,Man City,(3.),Wolves ,Wolves (6.),3:2,CB,,,,,,45',,,,Eric García
19,20,12/29/19,H,Man City,(3.),Sheffield Utd. ,Sheffield Utd. (7.),2:0,CB,,,,,,90',,,,Eric García
20,21,1/1/20,H,Man City,(3.),Everton ,Everton (10.),2:1,CB,,,,,,90',,,,Eric García
21,22,1/12/20,A,Man City,(3.),Aston Villa ,Aston Villa (17.),1:6,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
22,23,1/18/20,H,Man City,(2.),Crystal Palace ,Crystal Palace (9.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
23,24,1/21/20,A,Man City,(2.),Sheffield Utd. ,Sheffield Utd. (7.),0:1,CB,,,,,,12',,,,Eric García
24,25,2/2/20,A,Man City,(2.),Spurs ,Spurs (6.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
25,26,2/19/20,H,Man City,(2.),West Ham ,West Ham (18.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
26,27,2/22/20,A,Man City,(2.),Leicester ,Leicester (3.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eric García
27,29,3/8/20,A,Man City,(2.),Man Utd ,Man Utd (5.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eric García
28,28,6/17/20,H,Man City,(2.),Arsenal ,Arsenal (9.),3:0,CB,,,,,,89',,,,Eric García
