,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Southampton,(14.),Burnley ,Burnley (10.),3:0,DM,,,,,,90',,,,Oriol Romeu
1,2,8/17/19,H,Southampton,(18.),Liverpool ,Liverpool (3.),1:2,DM,,,36',,,64',,,,Oriol Romeu
2,3,8/24/19,A,Southampton,(19.),Brighton ,Brighton (5.),0:2,DM,,,,,,90',,,,Oriol Romeu
3,4,8/31/19,H,Southampton,(18.),Man Utd ,Man Utd (5.),1:1,DM,,,,,,90',,,,Oriol Romeu
4,5,9/14/19,A,Southampton,(13.),Sheffield Utd. ,Sheffield Utd. (10.),0:1,DM,,,,,,90',,,,Oriol Romeu
5,6,9/20/19,H,Southampton,(10.),Bournemouth ,Bournemouth (9.),1:3,DM,,,80',,,90',,,,Oriol Romeu
6,7,9/28/19,A,Southampton,(13.),Spurs ,Spurs (7.),2:1,DM,,,,,,90',,,,Oriol Romeu
7,8,10/6/19,H,Southampton,(14.),Chelsea ,Chelsea (7.),1:4,DM,,,,,,90',,,,Oriol Romeu
8,9,10/19/19,A,Southampton,(17.),Wolves ,Wolves (11.),1:1,DM,,,,,,82',,,,Oriol Romeu
9,10,10/25/19,H,Southampton,(17.),Leicester ,Leicester (3.),0:9,DM,,,,,,90',,,,Oriol Romeu
10,11,11/2/19,A,Southampton,(18.),Man City ,Man City (2.),2:1,DM,,,,,,90',,,,Oriol Romeu
11,12,11/9/19,H,Southampton,(18.),Everton ,Everton (17.),1:2,DM,,,,,,90',,,,Oriol Romeu
12,13,11/23/19,A,Southampton,(19.),Arsenal ,Arsenal (6.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
13,14,11/30/19,H,Southampton,(19.),Watford ,Watford (20.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
14,15,12/4/19,H,Southampton,(18.),Norwich ,Norwich (19.),2:1,CM,,,,,,18',,,,Oriol Romeu
15,16,12/8/19,A,Southampton,(17.),Newcastle ,Newcastle (11.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
16,17,12/14/19,H,Southampton,(18.),West Ham ,West Ham (16.),0:1,DM,,,,,,45',,,,Oriol Romeu
17,18,12/21/19,A,Southampton,(18.),Aston Villa ,Aston Villa (17.),1:3,DM,,,,,,14',,,,Oriol Romeu
18,19,12/26/19,A,Southampton,(17.),Chelsea ,Chelsea (4.),0:2,CM,,,,,,4',,,,Oriol Romeu
19,20,12/28/19,H,Southampton,(14.),Crystal Palace ,Crystal Palace (9.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
20,21,1/1/20,H,Southampton,(15.),Spurs ,Spurs (6.),1:0,,,,,,,1',,,,Oriol Romeu
21,22,1/11/20,A,Southampton,(12.),Leicester ,Leicester (2.),1:2,,,,,,,1',,,,Oriol Romeu
22,23,1/18/20,H,Southampton,(12.),Wolves ,Wolves (7.),2:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
23,24,1/21/20,A,Southampton,(13.),Crystal Palace ,Crystal Palace (9.),0:2,,,,71',,,69',,,,Oriol Romeu
24,25,2/1/20,A,Southampton,(9.),Liverpool ,Liverpool (1.),4:0,DM,,,,,,90',,,,Oriol Romeu
25,26,2/15/20,H,Southampton,(13.),Burnley ,Burnley (11.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
26,27,2/22/20,H,Southampton,(12.),Aston Villa ,Aston Villa (17.),2:0,DM,,,,,,10',,,,Oriol Romeu
27,28,2/29/20,A,Southampton,(12.),West Ham ,West Ham (18.),3:1,DM,,,,,,12',,,,Oriol Romeu
28,29,3/7/20,H,Southampton,(13.),Newcastle ,Newcastle (14.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Oriol Romeu
