,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/9/19,A,Norwich,(20.),Liverpool ,Liverpool (1.),4:1,DM,,,,,,70',,,,Tom Trybull
1,2,8/17/19,H,Norwich,(16.),Newcastle ,Newcastle (14.),3:1,DM,,,,,,87',,,,Tom Trybull
2,3,8/24/19,H,Norwich,(11.),Chelsea ,Chelsea (15.),2:3,DM,,,,,,81',,,,Tom Trybull
3,4,8/31/19,A,Norwich,(17.),West Ham ,West Ham (14.),2:0,DM,,,,,,90',,,,Tom Trybull
4,5,9/14/19,H,Norwich,(19.),Man City ,Man City (2.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
5,6,9/21/19,A,Norwich,(13.),Burnley ,Burnley (14.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
6,7,9/28/19,A,Norwich,(16.),Crystal Palace ,Crystal Palace (12.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
7,8,10/5/19,H,Norwich,(17.),Aston Villa ,Aston Villa (18.),1:5,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
8,9,10/19/19,A,Norwich,(19.),Bournemouth ,Bournemouth (10.),0:0,DM,,,,,,40',,,,Tom Trybull
9,10,10/27/19,H,Norwich,(19.),Man Utd ,Man Utd (14.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
10,11,11/2/19,A,Norwich,(19.),Brighton ,Brighton (14.),2:0,DM,,,,,,84',,,,Tom Trybull
11,12,11/8/19,H,Norwich,(19.),Watford ,Watford (20.),0:2,DM,,,,,,90',,,,Tom Trybull
12,13,11/23/19,A,Norwich,(20.),Everton ,Everton (15.),0:2,DM,,,,,,90',,,,Tom Trybull
13,14,12/1/19,H,Norwich,(18.),Arsenal ,Arsenal (8.),2:2,DM,,,,,,90',,,,Tom Trybull
14,15,12/4/19,A,Norwich,(19.),Southampton ,Southampton (18.),2:1,CM,,,,,,45',,,,Tom Trybull
15,16,12/8/19,H,Norwich,(19.),Sheffield Utd. ,Sheffield Utd. (9.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
16,17,12/14/19,A,Norwich,(19.),Leicester ,Leicester (2.),1:1,DM,,,52',,,85',,,,Tom Trybull
17,18,12/21/19,H,Norwich,(19.),Wolves ,Wolves (8.),1:2,DM,,,,,,86',,,,Tom Trybull
18,19,12/26/19,A,Norwich,(19.),Aston Villa ,Aston Villa (18.),1:0,DM,,,74',,,75',,,,Tom Trybull
19,20,12/28/19,H,Norwich,(20.),Spurs ,Spurs (6.),2:2,DM,,,,,,15',,,,Tom Trybull
20,21,1/1/20,H,Norwich,(20.),Crystal Palace ,Crystal Palace (9.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
21,22,1/11/20,A,Norwich,(20.),Man Utd ,Man Utd (5.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
22,23,1/18/20,H,Norwich,(20.),Bournemouth ,Bournemouth (19.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
23,24,1/22/20,A,Norwich,(20.),Spurs ,Spurs (8.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
24,25,2/1/20,A,Norwich,(20.),Newcastle ,Newcastle (14.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
25,26,2/15/20,H,Norwich,(20.),Liverpool ,Liverpool (1.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
26,27,2/23/20,A,Norwich,(20.),Wolves ,Wolves (8.),3:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
27,28,2/28/20,H,Norwich,(20.),Leicester ,Leicester (3.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Tom Trybull
28,29,3/7/20,A,Norwich,(20.),Sheffield Utd. ,Sheffield Utd. (8.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tom Trybull
