,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,A,Chelsea,(4.),Man Utd ,Man Utd (5.),4:0,GK,,,,,,90',,,,Kepa
1,2,8/18/19,H,Chelsea,(19.),Leicester ,Leicester (12.),1:1,GK,,,,,,90',,,,Kepa
2,3,8/24/19,A,Chelsea,(15.),Norwich ,Norwich (11.),2:3,GK,,,,,,90',,,,Kepa
3,4,8/31/19,H,Chelsea,(13.),Sheffield Utd. ,Sheffield Utd. (9.),2:2,GK,,,,,,90',,,,Kepa
4,5,9/14/19,A,Chelsea,(11.),Wolves ,Wolves (17.),2:5,GK,,,,,,90',,,,Kepa
5,6,9/22/19,H,Chelsea,(6.),Liverpool ,Liverpool (1.),1:2,GK,,,,,,90',,,,Kepa
6,7,9/28/19,H,Chelsea,(11.),Brighton ,Brighton (15.),2:0,GK,,,,,,90',,,,Kepa
7,8,10/6/19,A,Chelsea,(7.),Southampton ,Southampton (14.),1:4,GK,,,,,,90',,,,Kepa
8,9,10/19/19,H,Chelsea,(5.),Newcastle ,Newcastle (16.),1:0,GK,,,,,,90',,,,Kepa
9,10,10/26/19,A,Chelsea,(4.),Burnley ,Burnley (8.),2:4,GK,,,,,,90',,,,Kepa
10,11,11/2/19,A,Chelsea,(4.),Watford ,Watford (20.),1:2,GK,,,,,,90',,,,Kepa
11,12,11/9/19,H,Chelsea,(4.),Crystal Palace ,Crystal Palace (9.),2:0,GK,,,,,,90',,,,Kepa
12,13,11/23/19,A,Chelsea,(3.),Man City ,Man City (4.),2:1,GK,,,,,,90',,,,Kepa
13,14,11/30/19,H,Chelsea,(4.),West Ham ,West Ham (17.),0:1,GK,,,,,,90',,,,Kepa
14,15,12/4/19,H,Chelsea,(4.),Aston Villa ,Aston Villa (15.),2:1,GK,,,,,,90',,,,Kepa
15,16,12/7/19,A,Chelsea,(4.),Everton ,Everton (18.),3:1,GK,,,,,,90',,,,Kepa
16,17,12/14/19,H,Chelsea,(4.),Bournemouth ,Bournemouth (15.),0:1,GK,,,,,,90',,,,Kepa
17,18,12/22/19,A,Chelsea,(4.),Spurs ,Spurs (5.),0:2,GK,,,,,,90',,,,Kepa
18,19,12/26/19,H,Chelsea,(4.),Southampton ,Southampton (17.),0:2,GK,,,,,,90',,,,Kepa
19,20,12/29/19,A,Chelsea,(4.),Arsenal ,Arsenal (11.),1:2,GK,,,,,,90',,,,Kepa
20,21,1/1/20,A,Chelsea,(4.),Brighton ,Brighton (14.),1:1,GK,,,,,,90',,,,Kepa
21,22,1/11/20,H,Chelsea,(4.),Burnley ,Burnley (15.),3:0,GK,,,,,,90',,,,Kepa
22,23,1/18/20,A,Chelsea,(4.),Newcastle ,Newcastle (13.),1:0,GK,,,,,,90',,,,Kepa
23,24,1/21/20,H,Chelsea,(4.),Arsenal ,Arsenal (10.),2:2,GK,,,,,,90',,,,Kepa
24,25,2/1/20,A,Chelsea,(4.),Leicester ,Leicester (3.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kepa
25,26,2/17/20,H,Chelsea,(4.),Man Utd ,Man Utd (7.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kepa
26,27,2/22/20,H,Chelsea,(4.),Spurs ,Spurs (5.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kepa
27,28,2/29/20,A,Chelsea,(4.),Bournemouth ,Bournemouth (16.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kepa
28,29,3/8/20,H,Chelsea,(4.),Everton ,Everton (11.),4:0,GK,,,,,,90',,,,Kepa
