,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Spurs,(8.),Aston Villa ,Aston Villa (19.),3:1,CM,,1,,,,90',,,,Moussa Sissoko
1,2,8/17/19,A,Spurs,(6.),Man City ,Man City (1.),2:2,RM,,,,,,90',,,,Moussa Sissoko
2,3,8/25/19,H,Spurs,(6.),Newcastle ,Newcastle (18.),0:1,CM,,,,,,90',,,,Moussa Sissoko
3,4,9/1/19,A,Spurs,(7.),Arsenal ,Arsenal (3.),2:2,DM,,,,,,90',,,,Moussa Sissoko
4,5,9/14/19,H,Spurs,(9.),Crystal Palace ,Crystal Palace (4.),4:0,CM,,,,,,90',,,,Moussa Sissoko
5,6,9/21/19,A,Spurs,(3.),Leicester ,Leicester (5.),2:1,CM,,,19',,,67',,,,Moussa Sissoko
6,7,9/28/19,H,Spurs,(7.),Southampton ,Southampton (13.),2:1,CM,,,,,,90',,,,Moussa Sissoko
7,8,10/5/19,A,Spurs,(6.),Brighton ,Brighton (16.),3:0,RB,,,,,,90',,,,Moussa Sissoko
8,9,10/19/19,H,Spurs,(9.),Watford ,Watford (20.),1:1,CM,,,77',,,90',,,,Moussa Sissoko
9,10,10/27/19,A,Spurs,(7.),Liverpool ,Liverpool (1.),2:1,CM,,,36',,,90',,,,Moussa Sissoko
10,11,11/3/19,A,Spurs,(11.),Everton ,Everton (16.),1:1,DM,,,,,,90',,,,Moussa Sissoko
11,12,11/9/19,H,Spurs,(11.),Sheffield Utd. ,Sheffield Utd. (6.),1:1,DM,,,,,,90',,,,Moussa Sissoko
12,13,11/23/19,A,Spurs,(14.),West Ham ,West Ham (16.),2:3,RM,,,,,,8',,,,Moussa Sissoko
13,14,11/30/19,H,Spurs,(10.),Bournemouth ,Bournemouth (11.),3:2,RM,1,,,,,90',,,,Moussa Sissoko
14,15,12/4/19,A,Spurs,(5.),Man Utd ,Man Utd (9.),2:1,DM,,,,,,85',,,,Moussa Sissoko
15,16,12/7/19,H,Spurs,(8.),Burnley ,Burnley (12.),5:0,CM,1,,,,,90',,,,Moussa Sissoko
16,17,12/15/19,A,Spurs,(7.),Wolves ,Wolves (6.),1:2,CM,,,,,,90',,,,Moussa Sissoko
17,18,12/22/19,H,Spurs,(5.),Chelsea ,Chelsea (4.),0:2,CM,,,58',,,90',,,,Moussa Sissoko
18,19,12/26/19,H,Spurs,(7.),Brighton ,Brighton (13.),2:1,CM,,,84',,,90',,,,Moussa Sissoko
19,20,12/28/19,A,Spurs,(6.),Norwich ,Norwich (20.),2:2,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,,,Moussa Sissoko
20,21,1/1/20,A,Spurs,(6.),Southampton ,Southampton (15.),1:0,RM,,,61',,,90',,,,Moussa Sissoko
21,22,1/11/20,H,Spurs,(6.),Liverpool ,Liverpool (1.),0:1,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
22,23,1/18/20,A,Spurs,(8.),Watford ,Watford (17.),0:0,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
23,24,1/22/20,H,Spurs,(8.),Norwich ,Norwich (20.),2:1,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
24,25,2/2/20,H,Spurs,(6.),Man City ,Man City (2.),2:0,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
25,26,2/16/20,A,Spurs,(5.),Aston Villa ,Aston Villa (17.),2:3,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
26,27,2/22/20,A,Spurs,(5.),Chelsea ,Chelsea (4.),2:1,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
27,28,3/1/20,H,Spurs,(6.),Wolves ,Wolves (8.),2:3,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
28,29,3/7/20,A,Spurs,(7.),Burnley ,Burnley (9.),1:1,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,Knee Surgery,,,Moussa Sissoko
