,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Bournemouth,(18.),Sheffield Utd. ,Sheffield Utd. (7.),1:1,CF,,,,,,90',,,,Callum Wilson
1,2,8/17/19,A,Bournemouth,(8.),Aston Villa ,Aston Villa (15.),1:2,CF,,1,,,,90',,,,Callum Wilson
2,3,8/25/19,H,Bournemouth,(7.),Man City ,Man City (3.),1:3,CF,,,,,,69',,,,Callum Wilson
3,4,8/31/19,A,Bournemouth,(11.),Leicester ,Leicester (4.),3:1,CF,1,,69',,,90',,,,Callum Wilson
4,5,9/15/19,H,Bournemouth,(15.),Everton ,Everton (6.),3:1,CF,2,,,,,90',,,,Callum Wilson
5,6,9/20/19,A,Bournemouth,(9.),Southampton ,Southampton (10.),1:3,CF,1,,,,,90',,,,Callum Wilson
6,7,9/28/19,H,Bournemouth,(6.),West Ham ,West Ham (5.),2:2,CF,1,,,,,77',,,,Callum Wilson
7,8,10/6/19,A,Bournemouth,(8.),Arsenal ,Arsenal (4.),1:0,CF,,,,,,90',,,,Callum Wilson
8,9,10/19/19,H,Bournemouth,(10.),Norwich ,Norwich (19.),0:0,CF,,,,,,90',,,,Callum Wilson
9,10,10/26/19,A,Bournemouth,(10.),Watford ,Watford (20.),0:0,CF,,,65',,,74',,,,Callum Wilson
10,11,11/2/19,H,Bournemouth,(9.),Man Utd ,Man Utd (7.),1:0,CF,,,90',,,90',,,,Callum Wilson
11,12,11/9/19,A,Bournemouth,(7.),Newcastle ,Newcastle (15.),2:1,CF,,,,,,90',,,,Callum Wilson
12,13,11/23/19,H,Bournemouth,(9.),Wolves ,Wolves (8.),1:2,CF,,,,,,90',,,,Callum Wilson
13,14,11/30/19,A,Bournemouth,(11.),Spurs ,Spurs (10.),3:2,CF,,,,,,90',,,,Callum Wilson
14,15,12/3/19,A,Bournemouth,(12.),Crystal Palace ,Crystal Palace (11.),1:0,CF,,,,,,90',,,,Callum Wilson
15,16,12/7/19,H,Bournemouth,(14.),Liverpool ,Liverpool (1.),0:3,CF,,,,,,64',,,,Callum Wilson
16,17,12/14/19,A,Bournemouth,(15.),Chelsea ,Chelsea (4.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Callum Wilson
17,18,12/21/19,H,Bournemouth,(14.),Burnley ,Burnley (12.),0:1,CF,,,,,,45',,,,Callum Wilson
18,19,12/26/19,H,Bournemouth,(14.),Arsenal ,Arsenal (11.),1:1,CF,,,90',,,90',,,,Callum Wilson
19,20,12/28/19,A,Bournemouth,(16.),Brighton ,Brighton (15.),2:0,CF,,,,,,28',,,,Callum Wilson
20,21,1/1/20,A,Bournemouth,(16.),West Ham ,West Ham (17.),4:0,CF,,,,,,90',,,,Callum Wilson
21,22,1/12/20,H,Bournemouth,(18.),Watford ,Watford (19.),0:3,CF,,,,,,90',,,,Callum Wilson
22,23,1/18/20,A,Bournemouth,(19.),Norwich ,Norwich (20.),1:0,CF,,,77',,,90',,,,Callum Wilson
23,24,1/21/20,H,Bournemouth,(19.),Brighton ,Brighton (15.),3:1,CF,1,,,,,90',,,,Callum Wilson
24,25,2/1/20,H,Bournemouth,(18.),Aston Villa ,Aston Villa (16.),2:1,CF,,,65',,,90',,,,Callum Wilson
25,26,2/9/20,A,Bournemouth,(16.),Sheffield Utd. ,Sheffield Utd. (6.),2:1,CF,1,,,,,90',,,,Callum Wilson
26,27,2/22/20,A,Bournemouth,(16.),Burnley ,Burnley (11.),3:0,CF,,,,,,90',,,,Callum Wilson
27,28,2/29/20,H,Bournemouth,(16.),Chelsea ,Chelsea (4.),2:2,CF,,,88',,,90',,,,Callum Wilson
28,29,3/7/20,A,Bournemouth,(18.),Liverpool ,Liverpool (1.),2:1,CF,1,,90',,,90',,,,Callum Wilson
